,0,1
174,2022-02-08T06:00:00.000000000,955712.0
175,2022-02-08T07:00:00.000000000,466624.0
176,2022-02-08T08:00:00.000000000,55808.0
177,2022-02-08T09:00:00.000000000,0.0
178,2022-02-08T10:00:00.000000000,0.0
179,2022-02-08T11:00:00.000000000,0.0
180,2022-02-08T12:00:00.000000000,0.0
181,2022-02-08T13:00:00.000000000,0.0
182,2022-02-08T14:00:00.000000000,0.0
183,2022-02-08T15:00:00.000000000,0.0
184,2022-02-08T16:00:00.000000000,0.0
185,2022-02-08T17:00:00.000000000,0.0
186,2022-02-08T18:00:00.000000000,0.0
187,2022-02-08T19:00:00.000000000,0.0
188,2022-02-08T20:00:00.000000000,0.0
189,2022-02-08T21:00:00.000000000,0.0
190,2022-02-08T22:00:00.000000000,23744.0
191,2022-02-08T23:00:00.000000000,396736.0
192,2022-02-09T00:00:00.000000000,986816.0
193,2022-02-09T01:00:00.000000000,1445760.0
194,2022-02-09T02:00:00.000000000,1716544.0
195,2022-02-09T03:00:00.000000000,1737792.0
196,2022-02-09T04:00:00.000000000,1749120.0
197,2022-02-09T05:00:00.000000000,1388736.0
198,2022-02-09T06:00:00.000000000,1080256.0
199,2022-02-09T07:00:00.000000000,519168.0
200,2022-02-09T08:00:00.000000000,80128.0
201,2022-02-09T09:00:00.000000000,0.0
202,2022-02-09T10:00:00.000000000,0.0
203,2022-02-09T11:00:00.000000000,0.0
204,2022-02-09T12:00:00.000000000,0.0
205,2022-02-09T13:00:00.000000000,0.0
206,2022-02-09T14:00:00.000000000,0.0
207,2022-02-09T15:00:00.000000000,0.0
208,2022-02-09T16:00:00.000000000,0.0
209,2022-02-09T17:00:00.000000000,0.0
210,2022-02-09T18:00:00.000000000,0.0
211,2022-02-09T19:00:00.000000000,0.0
212,2022-02-09T20:00:00.000000000,0.0
213,2022-02-09T21:00:00.000000000,0.0
214,2022-02-09T22:00:00.000000000,30208.0
215,2022-02-09T23:00:00.000000000,442176.0
216,2022-02-10T00:00:00.000000000,1060608.0
217,2022-02-10T01:00:00.000000000,1586304.0
218,2022-02-10T02:00:00.000000000,1939200.0
219,2022-02-10T03:00:00.000000000,2061248.0
220,2022-02-10T04:00:00.000000000,1972544.0
221,2022-02-10T05:00:00.000000000,1641920.0
222,2022-02-10T06:00:00.000000000,1120768.0
223,2022-02-10T07:00:00.000000000,579264.0
224,2022-02-10T08:00:00.000000000,89600.0
225,2022-02-10T09:00:00.000000000,0.0
226,2022-02-10T10:00:00.000000000,0.0
227,2022-02-10T11:00:00.000000000,0.0
228,2022-02-10T12:00:00.000000000,0.0
229,2022-02-10T13:00:00.000000000,0.0
230,2022-02-10T14:00:00.000000000,0.0
231,2022-02-10T15:00:00.000000000,0.0
232,2022-02-10T16:00:00.000000000,0.0
233,2022-02-10T17:00:00.000000000,0.0
234,2022-02-10T18:00:00.000000000,0.0
235,2022-02-10T19:00:00.000000000,0.0
236,2022-02-10T20:00:00.000000000,0.0
237,2022-02-10T21:00:00.000000000,0.0
238,2022-02-10T22:00:00.000000000,26112.0
239,2022-02-10T23:00:00.000000000,320320.0
240,2022-02-11T00:00:00.000000000,762432.0
241,2022-02-11T01:00:00.000000000,1143552.0
242,2022-02-11T02:00:00.000000000,1433408.0
243,2022-02-11T03:00:00.000000000,1436352.0
244,2022-02-11T04:00:00.000000000,1510848.0
245,2022-02-11T05:00:00.000000000,1145216.0
246,2022-02-11T06:00:00.000000000,842176.0
247,2022-02-11T07:00:00.000000000,406784.0
248,2022-02-11T08:00:00.000000000,69696.0
249,2022-02-11T09:00:00.000000000,0.0
250,2022-02-11T10:00:00.000000000,0.0
251,2022-02-11T11:00:00.000000000,0.0
252,2022-02-11T12:00:00.000000000,0.0
253,2022-02-11T13:00:00.000000000,0.0
254,2022-02-11T14:00:00.000000000,0.0
255,2022-02-11T15:00:00.000000000,0.0
256,2022-02-11T16:00:00.000000000,0.0
257,2022-02-11T17:00:00.000000000,0.0
258,2022-02-11T18:00:00.000000000,0.0
259,2022-02-11T19:00:00.000000000,0.0
260,2022-02-11T20:00:00.000000000,0.0
261,2022-02-11T21:00:00.000000000,0.0
262,2022-02-11T22:00:00.000000000,34624.0
263,2022-02-11T23:00:00.000000000,411520.0
264,2022-02-12T00:00:00.000000000,939136.0
265,2022-02-12T01:00:00.000000000,1402496.0
266,2022-02-12T02:00:00.000000000,1657408.0
267,2022-02-12T03:00:00.000000000,1616128.0
268,2022-02-12T04:00:00.000000000,1391168.0
269,2022-02-12T05:00:00.000000000,1143616.0
270,2022-02-12T06:00:00.000000000,714944.0
271,2022-02-12T07:00:00.000000000,432384.0
272,2022-02-12T08:00:00.000000000,80192.0
273,2022-02-12T09:00:00.000000000,0.0
274,2022-02-12T10:00:00.000000000,0.0
275,2022-02-12T11:00:00.000000000,0.0
276,2022-02-12T12:00:00.000000000,0.0
277,2022-02-12T13:00:00.000000000,0.0
278,2022-02-12T14:00:00.000000000,0.0
279,2022-02-12T15:00:00.000000000,0.0
280,2022-02-12T16:00:00.000000000,0.0
281,2022-02-12T17:00:00.000000000,0.0
